"WALKING" "WALKING_UPSTAIRS" "WALKING_DOWNSTAIRS" "SITTING" "STANDING" "LAYING"
"tBodyAcc-mean()-X" "0.2751562" "0.2776043" "0.2738198" "0.2721679" "0.2741580" "0.2736031"
"tBodyAcc-mean()-Y" "-0.01752609" "-0.01806856" "-0.01796561" "-0.01747734" "-0.01799653" "-0.01751244"
"tBodyAcc-mean()-Z" "-0.1109687" "-0.1090243" "-0.1084891" "-0.1076023" "-0.1087237" "-0.1087577"
"tBodyAcc-std()-X" "-0.6221389" "-0.6038835" "-0.6492785" "-0.6275435" "-0.5989863" "-0.5587181"
"tBodyAcc-std()-Y" "-0.5613311" "-0.5579144" "-0.5513492" "-0.4826868" "-0.5101650" "-0.4223884"
"tBodyAcc-std()-Z" "-0.6562494" "-0.6137063" "-0.6197791" "-0.6227147" "-0.6301479" "-0.5438733"
"tGravityAcc-mean()-X" "0.6462228" "0.6682526" "0.6220394" "0.6963089" "0.6899933" "0.6793866"
"tGravityAcc-mean()-Y" "-0.009535137" " 0.003230243" " 0.066525873" "-0.012571723" "-0.026426033" " 0.016563843"
"tGravityAcc-mean()-Z" "0.05671751" "0.11771377" "0.19754961" "0.07702000" "0.08998351" "0.04296103"
"tGravityAcc-std()-X" "-0.9672376" "-0.9736468" "-0.9591966" "-0.9673970" "-0.9651794" "-0.9590779"
"tGravityAcc-std()-Y" "-0.9626502" "-0.9616734" "-0.9425946" "-0.9540568" "-0.9541161" "-0.9504881"
"tGravityAcc-std()-Z" "-0.9482000" "-0.9436810" "-0.9251801" "-0.9408540" "-0.9399149" "-0.9340116"
"tBodyAccJerk-mean()-X" "0.07910053" "0.07707272" "0.08058626" "0.07659597" "0.07833070" "0.08182032"
"tBodyAccJerk-mean()-Y" "0.007664401" "0.008836018" "0.012426148" "0.009401423" "0.006549425" "0.004298326"
"tBodyAccJerk-mean()-Z" "-0.003013530" "-0.002190873" "-0.006559917" "-0.003996583" "-0.005020958" "-0.007035798"
"tBodyAccJerk-std()-X" "-0.6642160" "-0.6549024" "-0.6869423" "-0.6522824" "-0.6000529" "-0.5995412"
"tBodyAccJerk-std()-Y" "-0.6530197" "-0.6391082" "-0.6624380" "-0.5943893" "-0.5843345" "-0.5395357"
"tBodyAccJerk-std()-Z" "-0.7766015" "-0.7791506" "-0.7588886" "-0.7669240" "-0.7708243" "-0.7288873"
"tBodyGyro-mean()-X" "-0.02262460" "-0.04268102" "-0.01281089" "-0.02590054" "-0.04752100" "-0.03066727"
"tBodyGyro-mean()-Y" "-0.07588581" "-0.06554305" "-0.08639759" "-0.07717998" "-0.06885000" "-0.07603406"
"tBodyGyro-mean()-Z" "0.08203645" "0.09469828" "0.08817849" "0.08628915" "0.09603183" "0.08341539"
"tBodyGyro-std()-X" "-0.7430772" "-0.7235464" "-0.7340524" "-0.7290711" "-0.7097299" "-0.6946737"
"tBodyGyro-std()-Y" "-0.7381450" "-0.6737842" "-0.7114078" "-0.6648951" "-0.7039075" "-0.6151411"
"tBodyGyro-std()-Z" "-0.7080863" "-0.6473381" "-0.6910662" "-0.6550461" "-0.6549945" "-0.5808707"
"tBodyGyroJerk-mean()-X" "-0.10103341" "-0.09282579" "-0.10327290" "-0.09697231" "-0.09234423" "-0.09525550"
"tBodyGyroJerk-mean()-Y" "-0.04053958" "-0.04402042" "-0.04049423" "-0.04134627" "-0.04217815" "-0.04488619"
"tBodyGyroJerk-mean()-Z" "-0.05408145" "-0.05498551" "-0.05856437" "-0.05288888" "-0.05638065" "-0.05292455"
"tBodyGyroJerk-std()-X" "-0.7622853" "-0.7483989" "-0.7488991" "-0.7259338" "-0.7222661" "-0.6915636"
"tBodyGyroJerk-std()-Y" "-0.8147514" "-0.8198804" "-0.7902634" "-0.7665718" "-0.7994346" "-0.7354567"
"tBodyGyroJerk-std()-Z" "-0.7907737" "-0.7594197" "-0.7835458" "-0.7351678" "-0.7279263" "-0.6640027"
"tBodyAccMag-mean()" "-0.5781756" "-0.5618695" "-0.5721538" "-0.5602730" "-0.5482070" "-0.4825381"
"tBodyAccMag-std()" "-0.6297795" "-0.5996214" "-0.6282664" "-0.5973751" "-0.5846082" "-0.5244817"
"tGravityAccMag-mean()" "-0.5781756" "-0.5618695" "-0.5721538" "-0.5602730" "-0.5482070" "-0.4825381"
"tGravityAccMag-std()" "-0.6297795" "-0.5996214" "-0.6282664" "-0.5973751" "-0.5846082" "-0.5244817"
"tBodyAccJerkMag-mean()" "-0.6734992" "-0.6726304" "-0.6845941" "-0.6558398" "-0.6284207" "-0.5989259"
"tBodyAccJerkMag-std()" "-0.6683304" "-0.6497746" "-0.6691621" "-0.6284489" "-0.5922617" "-0.5785841"
"tBodyGyroMag-mean()" "-0.6540782" "-0.6007290" "-0.6341312" "-0.6047407" "-0.6052785" "-0.5451303"
"tBodyGyroMag-std()" "-0.7195211" "-0.6631710" "-0.6708578" "-0.6526862" "-0.6753578" "-0.6019523"
"tBodyGyroJerkMag-mean()" "-0.7934901" "-0.7889406" "-0.7743547" "-0.7511052" "-0.7660274" "-0.7105124"
"tBodyGyroJerkMag-std()" "-0.8165259" "-0.8128446" "-0.7790056" "-0.7622307" "-0.7793644" "-0.7285121"
"fBodyAcc-mean()-X" "-0.6489635" "-0.6196854" "-0.6676879" "-0.6377000" "-0.6020871" "-0.5761177"
"fBodyAcc-mean()-Y" "-0.5864584" "-0.5729606" "-0.5837417" "-0.5200927" "-0.5262417" "-0.4594386"
"fBodyAcc-mean()-Z" "-0.6942231" "-0.6746531" "-0.6676406" "-0.6727412" "-0.6757453" "-0.6121035"
"fBodyAcc-std()-X" "-0.6130907" "-0.5988730" "-0.6437225" "-0.6249513" "-0.5991159" "-0.5535170"
"fBodyAcc-std()-Y" "-0.5766092" "-0.5794974" "-0.5646811" "-0.4975640" "-0.5344784" "-0.4412057"
"fBodyAcc-std()-Z" "-0.6642567" "-0.6147396" "-0.6261236" "-0.6277996" "-0.6364408" "-0.5460386"
"fBodyAccJerk-mean()-X" "-0.6861307" "-0.6640864" "-0.6991282" "-0.6694263" "-0.6197219" "-0.6187713"
"fBodyAccJerk-mean()-Y" "-0.6716883" "-0.6546654" "-0.6761663" "-0.6187435" "-0.6045248" "-0.5698556"
"fBodyAccJerk-mean()-Z" "-0.7598941" "-0.7569087" "-0.7432530" "-0.7500908" "-0.7503869" "-0.7063036"
"fBodyAccJerk-std()-X" "-0.6718898" "-0.6769343" "-0.7029130" "-0.6658933" "-0.6162764" "-0.6158671"
"fBodyAccJerk-std()-Y" "-0.6565715" "-0.6473829" "-0.6712775" "-0.5956297" "-0.5912662" "-0.5381265"
